scene-name,scene-numbers,items
big-boat,1.01 2.13,helm stair1 stair2 table1 table2 platform glacier
mansion,1.02 1.03 1.09 1.11 2.11,t2 t3 bookshelf1 bookshelf2 bed
lab,1.04,t1 t3 blackboard1 blackboard2 teacher-desk table1 table2
lab-ctk,1.05,t1 t3 blackboard1 blackboard2 ctk table1 table2
street-halflab,1.06,blackboard1 t3 teacher-desk bed table2 bench trash
half-lab,1.07 1.08,blackboard1 t3 teacher-desk bed table2
prison,1.10,mansion_scrim prison
glacier,1.12 2.01 2.05,scrim t2 t3 platform glacier
forest,2.02,tree
cottage,2.03 2.09,tree prison t1 t2 bookshelf1 bed
small-boat,2.04 2.06 2.07 2.10 2.12,small-boat
hotel,2.08,t2 t3 bed table1 nightstand